nome,tipo,descricao,tabela
v001,INT64,Pessoas Residentes,raca_idade_gen
v002,INT64,Pessoas Residentes e cor ou raça - branca,raca_idade_gen
v003,INT64,Pessoas Residentes e cor ou raça - preta,raca_idade_gen
v004,INT64,Pessoas Residentes e cor ou raça - amarela,raca_idade_gen
v005,INT64,Pessoas Residentes e cor ou raça - parda,raca_idade_gen
v006,INT64,Pessoas Residentes e cor ou raça - indígena,raca_idade_gen
v007,INT64,Pessoas Residentes de 0 a 4 anos de idade e cor ou raça - branca,raca_idade_gen
v008,INT64,Pessoas Residentes de 0 a 4 anos de idade e cor ou raça - preta,raca_idade_gen
v009,INT64,Pessoas Residentes de 0 a 4 anos de idade e cor ou raça - amarela,raca_idade_gen
v010,INT64,Pessoas Residentes de 0 a 4 anos de idade e cor ou raça - parda,raca_idade_gen
v011,INT64,Pessoas Residentes de 0 a 4 anos de idade e cor ou raça - indígena,raca_idade_gen
v012,INT64,Pessoas Residentes de 5 a 9 anos de idade e cor ou raça - branca,raca_idade_gen
v013,INT64,Pessoas Residentes de 5 a 9 anos de idade e cor ou raça - preta,raca_idade_gen
v014,INT64,Pessoas Residentes de 5 a 9 anos de idade e cor ou raça - amarela,raca_idade_gen
v015,INT64,Pessoas Residentes de 5 a 9 anos de idade e cor ou raça - parda,raca_idade_gen
v016,INT64,Pessoas Residentes de 5 a 9 anos de idade e cor ou raça - indígena,raca_idade_gen
v017,INT64,Pessoas Residentes de 10 a 14 anos de idade e cor ou raça – branca,raca_idade_gen
v018,INT64,Pessoas Residentes de 10 a 14 anos de idade e cor ou raça – preta,raca_idade_gen
v019,INT64,Pessoas Residentes de 10 a 14 anos de idade e cor ou raça – amarela,raca_idade_gen
v020,INT64,Pessoas Residentes de 10 a 14 anos de idade e cor ou raça – parda,raca_idade_gen
v021,INT64,Pessoas Residentes de 10 a 14 anos de idade e cor ou raça - indígena,raca_idade_gen
v022,INT64,Pessoas Residentes de 15 a 19 anos de idade e cor ou raça – branca,raca_idade_gen
v023,INT64,Pessoas Residentes de 15 a 19 anos de idade e cor ou raça – preta,raca_idade_gen
v024,INT64,Pessoas Residentes de 15 a 19 anos de idade e cor ou raça – amarela,raca_idade_gen
v025,INT64,Pessoas Residentes de 15 a 19 anos de idade e cor ou raça – parda,raca_idade_gen
v026,INT64,Pessoas Residentes de 15 a 19 anos de idade e cor ou raça - indígena,raca_idade_gen
v027,INT64,Pessoas Residentes de 15 a 17 anos de idade e cor ou raça – branca,raca_idade_gen
v028,INT64,Pessoas Residentes de 15 a 17 anos de idade e cor ou raça – preta,raca_idade_gen
v029,INT64,Pessoas Residentes de 15 a 17 anos de idade e cor ou raça – amarela,raca_idade_gen
v030,INT64,Pessoas Residentes de 15 a 17 anos de idade e cor ou raça – parda,raca_idade_gen
v031,INT64,Pessoas Residentes de 15 a 17 anos de idade e cor ou raça - indígena,raca_idade_gen
v032,INT64,Pessoas Residentes de 18 ou 19 anos de idade e cor ou raça – branca,raca_idade_gen
v033,INT64,Pessoas Residentes de 18 ou 19 anos de idade e cor ou raça – preta,raca_idade_gen
v034,INT64,Pessoas Residentes de 18 ou 19 anos de idade e cor ou raça – amarela,raca_idade_gen
v035,INT64,Pessoas Residentes de 18 ou 19 anos de idade e cor ou raça – parda,raca_idade_gen
v036,INT64,Pessoas Residentes de 18 ou 19 anos de idade e cor ou raça - indígena,raca_idade_gen
v037,INT64,Pessoas Residentes de 20 a 24 anos de idade e cor ou raça - branca,raca_idade_gen
v038,INT64,Pessoas Residentes de 20 a 24 anos de idade e cor ou raça - preta,raca_idade_gen
v039,INT64,Pessoas Residentes de 20 a 24 anos de idade e cor ou raça - amarela,raca_idade_gen
v040,INT64,Pessoas Residentes de 20 a 24 anos de idade e cor ou raça - parda,raca_idade_gen
v041,INT64,Pessoas Residentes de 20 a 24 anos de idade e cor ou raça - indígena,raca_idade_gen
v042,INT64,Pessoas Residentes de 25 a 29 anos de idade e cor ou raça – branca,raca_idade_gen
v043,INT64,Pessoas Residentes de 25 a 29 anos de idade e cor ou raça – preta,raca_idade_gen
v044,INT64,Pessoas Residentes de 25 a 29 anos de idade e cor ou raça – amarela,raca_idade_gen
v045,INT64,Pessoas Residentes de 25 a 29 anos de idade e cor ou raça – parda,raca_idade_gen
v046,INT64,Pessoas Residentes de 25 a 29 anos de idade e cor ou raça - indígena,raca_idade_gen
v047,INT64,Pessoas Residentes de 30 a 34 anos de idade e cor ou raça – branca,raca_idade_gen
v048,INT64,Pessoas Residentes de 30 a 34 anos de idade e cor ou raça – preta,raca_idade_gen
v049,INT64,Pessoas Residentes de 30 a 34 anos de idade e cor ou raça – amarela,raca_idade_gen
v050,INT64,Pessoas Residentes de 30 a 34 anos de idade e cor ou raça – parda,raca_idade_gen
v051,INT64,Pessoas Residentes de 30 a 34 anos de idade e cor ou raça - indígena,raca_idade_gen
v052,INT64,Pessoas Residentes de 35 a 39 anos de idade e cor ou raça - branca,raca_idade_gen
v053,INT64,Pessoas Residentes de 35 a 39 anos de idade e cor ou raça – preta,raca_idade_gen
v054,INT64,Pessoas Residentes de 35 a 39 anos de idade e cor ou raça – amarela,raca_idade_gen
v055,INT64,Pessoas Residentes de 35 a 39 anos de idade e cor ou raça – parda,raca_idade_gen
v056,INT64,Pessoas Residentes de 35 a 39 anos de idade e cor ou raça - indígena,raca_idade_gen
v057,INT64,Pessoas Residentes de 40 a 44 anos de idade e cor ou raça – branca,raca_idade_gen
v058,INT64,Pessoas Residentes de 40 a 44 anos de idade e cor ou raça – preta,raca_idade_gen
v059,INT64,Pessoas Residentes de 40 a 44 anos de idade e cor ou raça – amarela,raca_idade_gen
v060,INT64,Pessoas Residentes de 40 a 44 anos de idade e cor ou raça – parda,raca_idade_gen
v061,INT64,Pessoas Residentes de 40 a 44 anos de idade e cor ou raça - indígena,raca_idade_gen
v062,INT64,Pessoas Residentes de 45 a 49 anos de idade e cor ou raça – branca,raca_idade_gen
v063,INT64,Pessoas Residentes de 45 a 49 anos de idade e cor ou raça – preta,raca_idade_gen
v064,INT64,Pessoas Residentes de 45 a 49 anos de idade e cor ou raça – amarela,raca_idade_gen
v065,INT64,Pessoas Residentes de 45 a 49 anos de idade e cor ou raça – parda,raca_idade_gen
v066,INT64,Pessoas Residentes de 45 a 49 anos de idade e cor ou raça – indígena,raca_idade_gen
v067,INT64,Pessoas Residentes de 50 a 54 anos de idade e cor ou raça – branca,raca_idade_gen
v068,INT64,Pessoas Residentes de 50 a 54 anos de idade e cor ou raça – preta,raca_idade_gen
v069,INT64,Pessoas Residentes de 50 a 54 anos de idade e cor ou raça – amarela,raca_idade_gen
v070,INT64,Pessoas Residentes de 50 a 54 anos de idade e cor ou raça – parda,raca_idade_gen
v071,INT64,Pessoas Residentes de 50 a 54 anos de idade e cor ou raça - indígena,raca_idade_gen
v072,INT64,Pessoas Residentes de 55 a 59 anos de idade e cor ou raça – branca,raca_idade_gen
v073,INT64,Pessoas Residentes de 55 a 59 anos de idade e cor ou raça – preta,raca_idade_gen
v074,INT64,Pessoas Residentes de 55 a 59 anos de idade e cor ou raça – amarela,raca_idade_gen
v075,INT64,Pessoas Residentes de 55 a 59 anos de idade e cor ou raça – parda,raca_idade_gen
v076,INT64,Pessoas Residentes de 55 a 59 anos de idade e cor ou raça - indígena,raca_idade_gen
v077,INT64,Pessoas Residentes de 60 a 69 anos de idade e cor ou raça – branca,raca_idade_gen
v078,INT64,Pessoas Residentes de 60 a 69 anos de idade e cor ou raça – preta,raca_idade_gen
v079,INT64,Pessoas Residentes de 60 a 69 anos de idade e cor ou raça – amarela,raca_idade_gen
v080,INT64,Pessoas Residentes de 60 a 69 anos de idade e cor ou raça – parda,raca_idade_gen
v081,INT64,Pessoas Residentes de 60 a 69 anos de idade e cor ou raça - indígena,raca_idade_gen
v082,INT64,Pessoas Residentes de 70 anos ou mais de idade e cor ou raça – branca,raca_idade_gen
v083,INT64,Pessoas Residentes de 70 anos ou mais de idade e cor ou raça – preta,raca_idade_gen
v084,INT64,Pessoas Residentes de 70 anos ou mais de idade e cor ou raça – amarela,raca_idade_gen
v085,INT64,Pessoas Residentes de 70 anos ou mais de idade e cor ou raça – parda,raca_idade_gen
v086,INT64,Pessoas Residentes de 70 anos ou mais de idade e cor ou raça - indígena,raca_idade_gen
v087,INT64,"Pessoas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - branca",raca_idade_gen
v088,INT64,"Pessoas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - preta",raca_idade_gen
v089,INT64,"Pessoas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - amarela",raca_idade_gen
v090,INT64,"Pessoas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - parda",raca_idade_gen
v091,INT64,"Pessoas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v092,INT64,"Pessoas de 7 a 9 anos de idade, do sexo masculino e cor ou raça - branca",raca_idade_gen
v093,INT64,"Pessoas de 7 a 9 anos de idade, do sexo masculino e cor ou raça - preta",raca_idade_gen
v094,INT64,"Pessoas de 7 a 9 anos de idade, do sexo masculino e cor ou raça - amarela",raca_idade_gen
v095,INT64,"Pessoas de 7 a 9 anos de idade, do sexo masculino e cor ou raça - parda",raca_idade_gen
v096,INT64,"Pessoas de 7 a 9 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v097,INT64,"Pessoas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v098,INT64,"Pessoas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v099,INT64,"Pessoas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v100,INT64,"Pessoas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v101,INT64,"Pessoas de 10 a 14 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v102,INT64,"Pessoas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v103,INT64,"Pessoas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v104,INT64,"Pessoas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v105,INT64,"Pessoas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v106,INT64,"Pessoas de 15 a 19 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v107,INT64,"Pessoas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v108,INT64,"Pessoas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v109,INT64,"Pessoas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v110,INT64,"Pessoas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v111,INT64,"Pessoas de 15 a 17 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v112,INT64,"Pessoas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v113,INT64,"Pessoas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
